InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone,Generation,QuotaGroup,PremiumStorageCapable
RTX_3070,RTX3070,1,6,31.23828125,"{""Gpus"":[{""Name"":""RTX3070"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",0.10407407407407407,,CA,,,,
RTX_3070,RTX3070,1,6,31.23828125,"{""Gpus"":[{""Name"":""RTX3070"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",,0.08407407407407406,CA,,,,
RTX_3070,RTX3070,1,256,251.65234375,"{""Gpus"":[{""Name"":""RTX3070"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",0.6627777777777777,,TW,,,,
RTX_3070,RTX3070,1,256,251.65234375,"{""Gpus"":[{""Name"":""RTX3070"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",,0.596111111111111,TW,,,,
RTX_3080,RTX3080,1,16,15.5390625,"{""Gpus"":[{""Name"":""RTX3080"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":10240}}],""TotalGpuMemoryInMiB"":10240}",0.24944444444444447,,CH,,,,
RTX_3080,RTX3080,1,16,15.5390625,"{""Gpus"":[{""Name"":""RTX3080"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":10240}}],""TotalGpuMemoryInMiB"":10240}",,0.12944444444444445,CH,,,,
RTX_3090,RTX3090,1,20,31.2451171875,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",0.2774074074074074,,AE,,,,
RTX_3090,RTX3090,1,20,31.2451171875,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",,0.14807407407407408,AE,,,,
RTX_3090,RTX3090,1,16,31.1162109375,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",0.24555555555555555,,AR,,,,
RTX_3090,RTX3090,1,16,31.1162109375,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",,0.1552222222222222,AR,,,,
RTX_3090,RTX3090,1,6.7368421052631575,13.24609375,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",0.17740740740740743,,BG,,,,
RTX_3090,RTX3090,1,6.7368421052631575,13.24609375,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",,0.13507407407407407,BG,,,,
RTX_3090,RTX3090,1,22,31.4453125,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",0.3801851851851852,,CA,,,,
RTX_3090,RTX3090,1,22,31.4453125,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",,0.2601851851851852,CA,,,,
RTX_3090,RTX3090,1,12,31.451171875,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",0.526274074074074,,CZ,,,,
RTX_3090,RTX3090,1,12,31.451171875,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",,0.1574074074074074,CZ,,,,
RTX_3090,RTX3090,1,32,125.7734375,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",0.2975555555555556,,GB,,,,
RTX_3090,RTX3090,1,32,125.7734375,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",,0.24555555555555555,GB,,,,
RTX_3090,RTX3090,1,18,62.814453125,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",0.1761111111111111,,IN,,,,
RTX_3090,RTX3090,1,18,62.814453125,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",,0.0971111111111111,IN,,,,
RTX_3090,RTX3090,1,32,125.703125,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",0.4027777777777778,,JP,,,,
RTX_3090,RTX3090,1,32,125.703125,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",,0.26944444444444443,JP,,,,
RTX_3090,RTX3090,1,32,64,"{'Gpus': [{'Name': 'RTX3090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}",0.25,,RO,,,,
RTX_3090,RTX3090,1,32,125.8740234375,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",0.39611111111111114,,US,,,,
RTX_3090,RTX3090,1,6,31.3515625,"{""Gpus"":[{""Name"":""RTX3090"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":24576}}],""TotalGpuMemoryInMiB"":24576}",,0.3414814814814815,US,,,,
RTX_3090,RTX3090,2,32,64,"{'Gpus': [{'Name': 'RTX3090', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",0.33,,CN,,,,
